,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile
0,3.660866000751759,7.806526185376066,12.63503296137444,16.848365102414846,4.577332239050748,8.799534045746402,14.250629548714722,16.64432833615337,4.005396475385378,6.726150848507478,24.561476906662744,13.013859233048777,4.9322141306137715,7.6196253515966,35.139732863201644,12.756765772000723
1,1.5251554097525084,2.699370093804724,10.9771379766928,4.895614284999784,2.123311787868747,3.897017204469801,11.347309281594844,8.538402201665566,2.2859203383586126,3.6966417434214947,25.68010845701214,7.331272208860279,2.0016096276382465,3.4577302393313296,31.51771983050544,6.355717335593997
2,1.6529651753345072,2.9298455468054847,10.750490436224723,5.783580617782979,3.0556426626428728,5.247067328223394,10.582034714515537,9.897433362124172,2.6293043065215858,4.35081895019262,25.53073880460933,7.814167784224041,2.663497821173393,4.4462586315247785,31.413655002961036,8.477036329015665
3,1.4981437408059912,2.720748649422461,11.278090217763555,4.7795025915426885,3.030993238243047,5.128080705841881,11.351990538890291,10.066812425153465,2.37786666008635,4.0857546062571775,25.896548635248156,8.696906448315811,2.3213945058569703,4.085935294594902,32.40679992966604,8.610462367450621
4,1.5660321562515658,2.5784470043993735,10.371085390782824,4.461008901758031,2.608999434836397,4.515490845170488,10.820802290791441,8.420494767991633,2.588168855179448,4.163061937050626,25.668663292078037,7.915460223738468,2.3054692649168675,4.137814538947493,31.372506580241087,7.943020701015558
5,1.4920894674072351,2.753644082800228,10.6774829000463,5.281406298759768,3.1515952264699743,5.1653727962949025,10.021458410174814,8.798823098828334,3.112335592527865,5.059396863329667,25.531830066307897,8.460295210745254,2.8670473302705863,4.359918970175142,31.487418866267888,7.976574352976324
6,1.6926057145365878,2.8966127048940504,11.318620497042518,5.18529264897892,3.0843195554849725,5.739659444113292,10.916056557080237,9.386441318832365,3.361287571060805,5.771502188829727,25.89339276688233,10.5872786590132,2.647669348137143,4.391912156932424,32.717178897219284,7.678790186548201
7,1.3935466703029573,2.344047236712096,10.422968776381945,3.9679459966428823,3.3678035497754557,5.344958098549043,11.151684101916342,9.27056914890398,2.710283579676666,4.532458815463351,25.9300361742213,8.792191359342755,2.0326883324887244,3.93708569972575,32.28098569104154,7.340467724395027
8,1.5788470961256378,2.60510769773385,9.86243983611504,5.773908686735647,2.851861945151411,4.844064825324359,10.81694604433005,8.992464498341866,3.162478986045316,5.41354434493771,25.814144870231793,8.821963243453794,2.80406601761334,4.612206370174611,31.814367616375904,8.558966298396793
9,1.853899040970653,2.737247849839096,10.427472603450894,5.953166660544383,3.055139552692019,4.771388945175366,10.489617107211943,8.96193445598892,3.077422236050649,4.8661560378399535,25.558966215815495,9.052668303686847,2.535851830725745,4.207852250758421,31.78622437413852,7.689994033456284
10,1.6843030365327976,2.9502971116501295,10.447217743241737,4.491322004643649,3.2317933629454894,4.9831415793653715,10.681072999339651,10.582477693024071,2.44840290348338,4.867497496529365,25.578593715367678,7.708855354879525,2.492933244025478,4.203382842479055,31.67414710290355,7.539957787548642
11,1.658738116286015,3.134571113421609,10.803100282451272,5.143507349668548,2.8202808283742016,5.249693394188821,10.920342916138077,9.023878735165901,3.275961386808715,5.497371482267143,25.909632375121873,8.90462560389457,3.0749506592573757,4.946357987501335,32.105544898648255,9.068301940336532
12,1.5685707856320685,2.9283862094441595,10.811699660067422,4.940614918720986,2.7136454373807433,4.936527070499591,10.186389083048923,8.708141431747284,2.730304029330374,4.4489093989305175,25.555602143765167,8.232399959969278,2.410931066596509,4.174353730551095,31.677294534403146,7.195079305109596
13,1.7944438944839005,2.6341032629720513,10.10227184901254,5.934930897725404,3.4479219008227115,5.707965178540503,9.964272187587264,9.772313882398368,2.888952985898933,4.668787783934789,25.899975443787547,8.224920861050268,2.2685164381389216,4.07153886436898,31.681602969810562,8.518320083797448
14,2.932998956517622,4.764693154125841,18.77377390566082,9.707840454009213,4.538273364566634,7.7696168018210106,13.954539707415117,14.828023888311208,3.5490138680131476,5.839599757846337,34.48454241550171,13.813982216241241,3.826493057836045,7.238284550646189,45.47293400967149,13.11167071600617
