,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile,fftc_fquantile,fftc_squantile,fftc_std_dev,fftc_tquantile
0,2.671262463382317,4.6375051046103195,24.68111719692424,12.71709613219401,3.7674056624430845,6.466300323730842,29.104106349062604,14.534396044451,2.8645437836115546,4.764913238763093,17.428129894013075,10.383635505353261,4.31514051792164,7.0946046784661405,45.01669845726729,13.487304113302974
1,1.9818171505302948,3.8761752529948414,18.144838282855957,8.445783636140174,1.864750444105035,3.017106843554587,9.09728820631315,6.226163543661604,1.2616138063440308,2.412095285851827,16.037547029171,5.805260681378871,2.433893997129357,3.765347410640162,27.655353368226063,6.564818977113654
2,2.267390666413384,3.7611305133643764,17.51425726936249,8.684293736971732,1.6510146134095551,3.024947102916319,9.367044387722695,7.048020850169747,1.371347166454064,2.285652428766083,15.48850446955315,5.0759239922857535,2.4041082002451133,4.07496814274216,27.08594615492942,6.805038422965586
3,2.3244098967641706,3.5660585891954786,17.31160349008238,8.227978419447991,1.9168908940746756,3.3304823070055827,9.467514797771416,6.202597380699402,1.5018095551723774,2.196041134733705,15.00390744652375,5.334803227533784,2.388114083764345,4.123497395143164,26.769653102854,7.007485788657368
4,2.578160443127951,4.509204552555944,17.840300391259557,10.311496311467229,1.8769663784288262,3.6228854277866454,9.409628135180721,6.618407205453404,1.6826299943744818,2.807413990100879,15.52636611409572,7.016404524898266,2.4249221696828718,4.330766940840606,27.69573346678927,8.03249769187034
5,2.482249789895511,4.128884823396017,18.47267891696731,7.886941869720936,2.0111800927155867,3.513649404205548,8.782075114081222,7.451461249470082,1.4305098994436614,2.6766644196610825,16.327735868531168,6.404299959075022,2.4719527633176117,4.277564605916025,28.192772070050886,7.915087056658523
6,2.3374906586739383,3.7966303435622235,18.329349477981726,7.264756536038164,1.7829915731621497,3.555265633483257,8.932984509271696,6.98032660266653,1.083037345202678,2.111583060493004,16.58391778268943,5.198135246078619,2.329600214938885,4.0421620799825035,28.04153715326794,8.078364394908515
7,3.127568736993869,5.482100876432113,17.352665338991738,9.130201565450399,1.8524390038550542,3.1761445775319768,9.312937270251062,6.930191126249712,1.5067396945781122,2.497651055808668,15.914952254542195,6.183133343958486,3.1075456944143838,5.050969042502849,27.505127072522694,8.575147532153544
8,3.2059729329466466,4.7811259250046145,16.896510528620738,8.633128343177843,1.8276547009736646,3.2408715810528363,9.399721650441295,7.207312817731856,1.5310595254847628,2.6950280043255948,15.929122680849652,6.007477637361097,2.9102032956406756,4.552555756631227,27.254642571524602,8.239300665780508
9,2.927175462210183,4.936405828904601,17.339988702889272,10.418929939986619,1.6380245911831695,2.8879231291708587,9.497023960636769,6.869116334545938,1.8416374641718745,2.9712576985492127,16.42959537356603,7.571604945002782,2.90215741236783,4.583719887986229,27.98514448829776,7.860343763266666
10,2.210430605828889,3.854652238284256,18.22306695061786,7.98021243612251,1.8274943895804154,3.4691408791713148,9.598921930916305,6.467620682862692,1.4443660601477646,2.60075956022607,17.220654536351056,5.604304892893849,2.626012321033323,4.452795656960093,28.638782272436508,7.1601228869420614
11,2.41409674077602,4.209995705503245,17.191100309049713,8.538550109507545,2.0279008742275195,3.5123154705409805,9.330991051296149,7.165114837871262,1.6622246781397179,2.546213858336656,17.843810135403782,6.657272155427666,2.921490855698666,4.650427573996376,28.47593429394684,9.045968661759982
12,2.097748618543076,3.4644684094687075,17.20327175183052,8.512811895742988,2.431634043317967,4.213975382088564,9.75813328129009,7.219500895520394,1.3827246504590853,2.6959481821289515,17.901499513236757,5.920151567963518,2.7084766177733592,4.437164292845367,28.546705818503103,7.905358023035912
13,2.1039486685753546,3.7124820274947634,17.047776232074398,8.768696826221236,1.8558887383986964,3.5044476387345163,9.514978058415599,8.243571743799798,1.2632159867484363,2.2964591087471913,16.77989130888846,7.348959689706465,2.802281688954633,4.402453195504541,27.671167716439296,8.15787607552012
14,2.2869103248741536,4.161544900414171,16.288823605005717,8.362944152542704,1.5327869448739868,3.5054338527361057,9.029241397444654,7.848932409150893,1.6775280047104164,2.9342039085910354,16.78785617940993,6.3091527685263245,2.6710444333314443,4.459276087602202,27.043960902839938,7.297857809022587
15,2.3749976960616515,4.463194151143151,16.274552655150035,9.234190318838577,1.5608181694578245,3.9578133266290267,8.77496354269266,6.715164955524171,1.9494592450748438,3.1948243565327408,17.09468003430759,8.873166704312341,2.390306877623968,4.42166011346106,27.38676534070789,7.75611626817396
16,2.0957006623204153,4.004490702441701,17.212016073419566,9.012730064418632,1.9326657111176784,3.202072701869365,8.948182950567736,6.806999252444347,1.2916302486903581,2.598131687723995,17.36600225678214,8.028402571981793,2.334644920663909,4.470703808445723,28.119452916664507,7.9395585325711036
17,2.0502372096320727,3.49679121023762,17.757516254028857,6.9749976131345806,2.010745284976176,2.8655182446894374,9.741802563941881,6.1032993059584975,1.4951611070382405,2.377582093976917,17.594430637137435,6.126116075981652,2.222477458916074,3.9992611713904687,28.71626064705135,7.421145875079236
18,2.0859826320822425,3.2266054476694337,17.438767586935295,7.073264291953428,1.7711358874313825,3.581979344523207,8.965165869910837,8.378042212352394,1.6585286280732063,2.6688909048933147,17.04851920122985,7.320657120319298,2.1379615298645063,3.7690663457399167,27.975980640694434,7.46829356355017
