,amean,fquantile,squantile,tquantile,meanabschange,mad,strikebelowmean,strikeabovemean,stddev,skewness,kurtosis,mean_energy,ncmean,npeaks,bin_counts0,bin_counts1,bin_counts2,bin_counts3,bin_counts4,bin_counts5,bin_counts6,bin_counts7,bin_counts8,bin_counts9,bin_counts10,bin_counts11,bin_counts12,bin_counts13,bin_counts14,bin_counts15,amean,fquantile,squantile,tquantile,meanabschange,mad,strikebelowmean,strikeabovemean,stddev,skewness,kurtosis,mean_energy,ncmean,npeaks,bin_counts0,bin_counts1,bin_counts2,bin_counts3,bin_counts4,bin_counts5,bin_counts6,bin_counts7,bin_counts8,bin_counts9,bin_counts10,bin_counts11,bin_counts12,bin_counts13,bin_counts14,bin_counts15,amean,fquantile,squantile,tquantile,meanabschange,mad,strikebelowmean,strikeabovemean,stddev,skewness,kurtosis,mean_energy,ncmean,npeaks,bin_counts0,bin_counts1,bin_counts2,bin_counts3,bin_counts4,bin_counts5,bin_counts6,bin_counts7,bin_counts8,bin_counts9,bin_counts10,bin_counts11,bin_counts12,bin_counts13,bin_counts14,bin_counts15,amean,fquantile,squantile,tquantile,meanabschange,mad,strikebelowmean,strikeabovemean,stddev,skewness,kurtosis,mean_energy,ncmean,npeaks,bin_counts0,bin_counts1,bin_counts2,bin_counts3,bin_counts4,bin_counts5,bin_counts6,bin_counts7,bin_counts8,bin_counts9,bin_counts10,bin_counts11,bin_counts12,bin_counts13,bin_counts14,bin_counts15
0,-5.23673896195652,-19.15249975,-15.41,13.89,0.7787465885558582,17.020603630050807,258,99,19.456719316708142,0.9707472860849099,-0.9000265058957919,405.9873615248372,3,12,0.09239130434782608,0.25271739130434784,0.20923913043478262,0.1331521739130435,0.010869565217391304,0.010869565217391304,0.008152173913043478,0.005434782608695652,0.005434782608695652,0.008152173913043478,0.005434782608695652,0.008152173913043478,0.002717391304347826,0.0,0.0,0.24728260869565216,23.294292994565218,15.049999,23.54,28.91,0.896784727520436,6.077701869653828,91,32,7.327350417971876,0.4702679154385125,0.45837774665137365,596.3141502644028,15,8,0.005434782608695652,0.0,0.0,0.005434782608695652,0.25271739130434784,0.0625,0.10869565217391304,0.1358695652173913,0.10869565217391304,0.1875,0.07336956521739131,0.029891304347826088,0.008152173913043478,0.0,0.008152173913043478,0.01358695652173913,-12.05201046195652,-19.369999,-10.429999,-9.889999000000001,1.0722070544959128,6.144610491286625,30,115,9.840044300329412,3.3418019241588652,19.516268542224815,242.0774280075548,12,8,0.02717391304347826,0.3070652173913043,0.11684782608695653,0.453804347826087,0.03804347826086957,0.016304347826086956,0.021739130434782608,0.002717391304347826,0.005434782608695652,0.0,0.0,0.002717391304347826,0.0,0.005434782608695652,0.0,0.002717391304347826,34.97500612357469,32.872136362579205,34.319077010890624,36.81391856349987,0.7341577764371668,2.9467556981543983,91,34,4.596508071646114,2.78973917490692,18.648129703956265,1244.3789397967946,25,15,0.002717391304347826,0.002717391304347826,0.002717391304347826,0.01358695652173913,0.14130434782608695,0.4673913043478261,0.27717391304347827,0.057065217391304345,0.01358695652173913,0.002717391304347826,0.010869565217391304,0.0,0.0,0.002717391304347826,0.0,0.005434782608695652
1,-17.34407583152174,-19.55,-17.299999999999997,-15.45499925,0.5601090245231607,2.315076520823488,34,36,2.8304017084382687,0.0007804418420989114,-0.5815701313775188,308.8281402807068,24,15,0.019021739130434784,0.02717391304347826,0.02717391304347826,0.04619565217391304,0.10326086956521739,0.07608695652173914,0.07608695652173914,0.10054347826086957,0.11141304347826086,0.12228260869565218,0.07336956521739131,0.05434782608695652,0.06521739130434782,0.03804347826086957,0.043478260869565216,0.016304347826086956,25.552988788043482,21.792499999999997,25.52,29.71499925,0.6808446784741145,3.912842183630671,25,23,4.48212554491204,-0.18962076362801752,-1.2356712342411558,673.0446854022288,20,11,0.0625,0.06521739130434782,0.05434782608695652,0.051630434782608696,0.03260869565217391,0.029891304347826088,0.09239130434782608,0.09782608695652174,0.04619565217391304,0.043478260869565216,0.029891304347826088,0.08152173913043478,0.08152173913043478,0.10326086956521739,0.08423913043478261,0.043478260869565216,-14.17942910326087,-19.0875,-14.69,-9.11,0.7443596512261581,5.098200947158554,25,24,5.60555443330842,0.07202095631145936,-1.3579228409435702,232.478450199185,16,9,0.024456521739130436,0.04619565217391304,0.07336956521739131,0.09239130434782608,0.10869565217391304,0.10597826086956522,0.04619565217391304,0.024456521739130436,0.029891304347826088,0.051630434782608696,0.07336956521739131,0.11141304347826086,0.08695652173913043,0.059782608695652176,0.051630434782608696,0.01358695652173913,34.728333622471716,32.702691047754065,35.28684743627427,36.81246438354978,0.55673003094595,2.3509886892213627,30,34,2.879951334384165,-0.5236287399543268,-0.5744867993915599,1214.3512758821205,30,17,0.016304347826086956,0.016304347826086956,0.04891304347826087,0.043478260869565216,0.059782608695652176,0.04619565217391304,0.04076086956521739,0.057065217391304345,0.07336956521739131,0.1358695652173913,0.12228260869565218,0.1358695652173913,0.07608695652173914,0.07065217391304347,0.04619565217391304,0.010869565217391304
2,-17.51605950271739,-19.38499925,-17.69,-15.589998999999999,0.5491008174386921,2.1234165624113897,35,37,2.613821474171513,0.07538085584557974,-0.4919315934102433,313.6444032015764,22,15,0.024456521739130436,0.019021739130434784,0.02717391304347826,0.043478260869565216,0.08695652173913043,0.08967391304347826,0.11684782608695653,0.11141304347826086,0.11413043478260869,0.08967391304347826,0.07608695652173914,0.043478260869565216,0.059782608695652176,0.051630434782608696,0.029891304347826088,0.016304347826086956,25.761276858695652,22.042500000000004,25.584999500000002,30.119999,0.7044686457765668,3.9195795551748582,25,22,4.523544768031184,-0.16958397266021155,-1.2357428266057409,684.1058426587504,23,11,0.035326086956521736,0.08152173913043478,0.051630434782608696,0.057065217391304345,0.03260869565217391,0.04076086956521739,0.08967391304347826,0.08695652173913043,0.06793478260869565,0.04619565217391304,0.035326086956521736,0.07065217391304347,0.07336956521739131,0.08967391304347826,0.10869565217391304,0.03260869565217391,-13.588260641304348,-18.109999,-14.119999,-9.11,0.6775476348773841,4.393154479087902,25,23,4.764338887341653,0.1409214669335882,-1.4962496916487664,207.33975228945675,17,9,0.04076086956521739,0.07336956521739131,0.14130434782608695,0.125,0.0625,0.029891304347826088,0.02717391304347826,0.03260869565217391,0.021739130434782608,0.0625,0.06793478260869565,0.08695652173913043,0.09510869565217392,0.0625,0.043478260869565216,0.02717391304347826,34.589716979812486,32.396845247112836,35.202395508522606,36.85599312713813,0.5756766675313231,2.456411650718775,28,31,2.93963899250492,-0.5271661126906604,-0.7729789308595061,1205.0899981497835,25,17,0.016304347826086956,0.01358695652173913,0.051630434782608696,0.06793478260869565,0.043478260869565216,0.03804347826086957,0.04076086956521739,0.051630434782608696,0.0625,0.10326086956521739,0.09510869565217392,0.12228260869565218,0.08423913043478261,0.11956521739130435,0.06793478260869565,0.021739130434782608
3,-18.511548616847826,-20.16,-18.77,-16.83499975,0.5597819754768392,2.245774312751063,32,27,2.804643395566899,0.15652414241849974,-0.46945864881735133,350.5434567702177,30,14,0.008152173913043478,0.019021739130434784,0.03804347826086957,0.04076086956521739,0.051630434782608696,0.07336956521739131,0.14673913043478262,0.11684782608695653,0.11956521739130435,0.10597826086956522,0.057065217391304345,0.03804347826086957,0.059782608695652176,0.051630434782608696,0.043478260869565216,0.029891304347826088,25.897391027173914,22.32,25.49,30.41,0.7237056621253405,3.9824786703981574,25,25,4.605440021877278,-0.03247840703562249,-1.178222756984463,691.8849398094569,21,9,0.03260869565217391,0.07608695652173914,0.07880434782608696,0.04076086956521739,0.057065217391304345,0.09782608695652174,0.10326086956521739,0.07336956521739131,0.04076086956521739,0.057065217391304345,0.06793478260869565,0.07880434782608696,0.11141304347826086,0.057065217391304345,0.021739130434782608,0.005434782608695652,-13.778668249999999,-18.59,-14.6649995,-8.79499925,0.7721797901907356,4.919664714673913,25,23,5.407666091775436,0.25745348026035536,-1.350687647694872,219.09455130369588,17,13,0.06521739130434782,0.10597826086956522,0.13043478260869565,0.1331521739130435,0.03804347826086957,0.029891304347826088,0.04076086956521739,0.021739130434782608,0.07065217391304347,0.06521739130434782,0.07880434782608696,0.07336956521739131,0.07336956521739131,0.04076086956521739,0.016304347826086956,0.016304347826086956,35.398062253876176,33.5191492651771,35.91252880906042,37.692901266827874,0.5969609170887851,2.4266313881335315,28,33,2.915499366159625,-0.41609047995611403,-0.727135543823874,1261.5229478833703,27,19,0.008152173913043478,0.029891304347826088,0.06521739130434782,0.03804347826086957,0.05434782608695652,0.04076086956521739,0.07065217391304347,0.08967391304347826,0.09239130434782608,0.11956521739130435,0.08967391304347826,0.12771739130434784,0.08967391304347826,0.059782608695652176,0.021739130434782608,0.002717391304347826
4,-19.713314975543476,-21.387499249999998,-19.91,-17.869999,0.5475203950953678,2.131831864337193,34,32,2.7171910102747328,0.27576056613146943,-0.20536698218447924,395.9979143113046,29,15,0.029891304347826088,0.024456521739130436,0.059782608695652176,0.04891304347826087,0.07065217391304347,0.08695652173913043,0.15489130434782608,0.15760869565217392,0.06793478260869565,0.08152173913043478,0.07065217391304347,0.04619565217391304,0.035326086956521736,0.021739130434782608,0.019021739130434784,0.024456521739130436,25.94874966847826,22.535,25.229999499999998,30.179997999999998,0.7141143841961852,3.9300678389059542,26,25,4.514336783838966,0.0395833838009237,-1.191164693572768,693.7168459552721,22,11,0.051630434782608696,0.07608695652173914,0.06793478260869565,0.04619565217391304,0.06521739130434782,0.1358695652173913,0.07608695652173914,0.059782608695652176,0.03804347826086957,0.051630434782608696,0.06521739130434782,0.08695652173913043,0.10326086956521739,0.051630434782608696,0.019021739130434784,0.005434782608695652,-13.792472557065219,-18.725,-15.23,-8.615,0.8123160599455042,5.149268015300094,25,23,5.644034855731476,0.27699665093282466,-1.3768911729769668,222.08742869010896,16,13,0.07336956521739131,0.1331521739130435,0.10869565217391304,0.12228260869565218,0.051630434782608696,0.02717391304347826,0.024456521739130436,0.029891304347826088,0.051630434782608696,0.08423913043478261,0.0625,0.06793478260869565,0.0625,0.05434782608695652,0.029891304347826088,0.016304347826086956,36.11199120685223,34.251474240236945,36.326603882920416,38.32833339175828,0.5725547027172362,2.3061424094173426,29,32,2.7796186848042197,-0.43508150888155034,-0.7303396606066141,1311.8021889566858,29,20,0.02717391304347826,0.035326086956521736,0.04076086956521739,0.05434782608695652,0.035326086956521736,0.04076086956521739,0.08423913043478261,0.0625,0.125,0.07065217391304347,0.10869565217391304,0.09510869565217392,0.09510869565217392,0.08695652173913043,0.035326086956521736,0.002717391304347826
5,-20.989592163043476,-22.73,-20.81,-19.5,0.5477656348773843,1.859574637523629,34,24,2.2785472683020283,0.060999011811541354,-0.5660167470472373,445.7547568247828,34,14,0.005434782608695652,0.005434782608695652,0.051630434782608696,0.057065217391304345,0.07608695652173914,0.08423913043478261,0.08695652173913043,0.08967391304347826,0.14673913043478262,0.10054347826086957,0.09782608695652174,0.043478260869565216,0.07336956521739131,0.03804347826086957,0.02717391304347826,0.016304347826086956,26.04785289945652,22.26,25.584999500000002,30.244999749999998,0.7329972043596729,3.960709988539697,26,23,4.585011746341575,0.006190000231597062,-1.2109827263868862,699.5129733858157,24,12,0.03804347826086957,0.09239130434782608,0.04619565217391304,0.051630434782608696,0.059782608695652176,0.04891304347826087,0.10869565217391304,0.09510869565217392,0.035326086956521736,0.04076086956521739,0.05434782608695652,0.04619565217391304,0.08152173913043478,0.07336956521739131,0.07880434782608696,0.04891304347826087,-13.623939972826088,-18.47,-14.8399995,-8.57,0.7696729891008175,4.907520447572069,25,23,5.365262916517093,0.2467917382888724,-1.4440774158522833,214.397786546522,16,11,0.024456521739130436,0.07608695652173914,0.10869565217391304,0.14945652173913043,0.09239130434782608,0.03260869565217391,0.04076086956521739,0.024456521739130436,0.035326086956521736,0.035326086956521736,0.07608695652173914,0.057065217391304345,0.06793478260869565,0.07336956521739131,0.059782608695652176,0.04619565217391304,36.76929020623195,34.738078169346394,37.09049145943162,39.17527610449273,0.5642876832496336,2.3215274286281944,24,32,2.7721497951978464,-0.37658111636120445,-0.9265559702320925,1359.6655167571207,34,16,0.03260869565217391,0.0625,0.06793478260869565,0.029891304347826088,0.02717391304347826,0.05434782608695652,0.04619565217391304,0.09510869565217392,0.09239130434782608,0.08152173913043478,0.10054347826086957,0.07336956521739131,0.09510869565217392,0.10597826086956522,0.024456521739130436,0.010869565217391304
6,-22.478695366847827,-24.47,-22.31,-20.22,0.5496457956403269,2.4211318576175564,40,39,2.941621455968669,-0.32636483665333016,-0.42215124595465037,513.9448821857611,27,16,0.010869565217391304,0.021739130434782608,0.019021739130434784,0.021739130434782608,0.043478260869565216,0.05434782608695652,0.10869565217391304,0.08423913043478261,0.09239130434782608,0.10054347826086957,0.10326086956521739,0.10054347826086957,0.09239130434782608,0.06521739130434782,0.06521739130434782,0.016304347826086956,25.996467040760873,21.945,25.849998,30.769999,0.7496729754768391,4.15413980883743,26,25,4.807359351572966,-0.08351573338092566,-1.2384309469964274,698.9270025365223,24,11,0.019021739130434784,0.043478260869565216,0.10054347826086957,0.03804347826086957,0.051630434782608696,0.051630434782608696,0.08152173913043478,0.08152173913043478,0.08423913043478261,0.043478260869565216,0.04891304347826087,0.04891304347826087,0.0625,0.10597826086956522,0.09782608695652174,0.04076086956521739,-13.687173722826087,-18.89,-14.6949995,-8.15,0.771226098092643,5.1606343782785915,26,26,5.682834546215253,0.13006368236132,-1.4112546905448287,219.63333299847847,16,14,0.021739130434782608,0.019021739130434784,0.03804347826086957,0.13858695652173914,0.1331521739130435,0.07336956521739131,0.04619565217391304,0.051630434782608696,0.02717391304347826,0.04076086956521739,0.04619565217391304,0.057065217391304345,0.09782608695652174,0.09239130434782608,0.05434782608695652,0.0625,37.707890464519885,35.452721384843656,38.2642625855623,40.282104515896606,0.5896021734206452,2.7193768542093553,34,34,3.2588670479987614,-0.5150173022975291,-0.6176810728154165,1432.505217720762,21,14,0.008152173913043478,0.008152173913043478,0.010869565217391304,0.059782608695652176,0.059782608695652176,0.04619565217391304,0.04619565217391304,0.06521739130434782,0.07880434782608696,0.08967391304347826,0.08967391304347826,0.13043478260869565,0.14945652173913043,0.0625,0.07880434782608696,0.016304347826086956
7,-24.893776907608693,-27.064999750000002,-25.404999,-22.67,0.5745504441416893,2.5407978010987717,39,68,3.149091601198816,0.49974865123240875,-0.4115914094397901,629.6169066385329,26,21,0.019021739130434784,0.0625,0.08695652173913043,0.0625,0.10326086956521739,0.14945652173913043,0.12228260869565218,0.09239130434782608,0.043478260869565216,0.043478260869565216,0.07065217391304347,0.051630434782608696,0.029891304347826088,0.02717391304347826,0.019021739130434784,0.016304347826086956,25.90171160869565,22.18249925,25.789998999999998,30.65,0.7197002506811989,4.02153164910208,26,25,4.669221533863897,-0.0928587518509656,-1.2015645005401292,692.7002939923375,24,12,0.021739130434782608,0.03804347826086957,0.08967391304347826,0.05434782608695652,0.043478260869565216,0.04891304347826087,0.10869565217391304,0.057065217391304345,0.09239130434782608,0.04076086956521739,0.0625,0.04891304347826087,0.04619565217391304,0.12228260869565218,0.09239130434782608,0.03260869565217391,-14.064184597826086,-19.20499925,-14.629999999999999,-8.854999750000001,0.7979836158038145,5.1708417902882795,26,26,5.7830804013744075,0.036035758662306794,-1.2684076585600708,231.2453073304893,16,13,0.016304347826086956,0.04619565217391304,0.04076086956521739,0.10869565217391304,0.10326086956521739,0.08695652173913043,0.06793478260869565,0.043478260869565216,0.04076086956521739,0.04619565217391304,0.07336956521739131,0.10054347826086957,0.08152173913043478,0.07880434782608696,0.04891304347826087,0.016304347826086956,39.29068345664014,37.38902245312118,39.94705803660641,41.80243637971808,0.5803553706879391,2.5220800980337006,25,35,3.1312459934448458,-0.9132628673386691,0.48640681463121815,1553.5625079613594,28,19,0.008152173913043478,0.008152173913043478,0.010869565217391304,0.010869565217391304,0.016304347826086956,0.03260869565217391,0.035326086956521736,0.051630434782608696,0.07065217391304347,0.08152173913043478,0.09510869565217392,0.09510869565217392,0.12228260869565218,0.16847826086956522,0.12228260869565218,0.07065217391304347
8,-25.63918449728261,-27.0,-25.67,-24.23,0.582152591280654,1.685384907623464,28,23,2.100301469680617,0.037573528208371385,-0.33961203684998154,661.7790479492395,46,19,0.008152173913043478,0.024456521739130436,0.035326086956521736,0.06793478260869565,0.06521739130434782,0.07065217391304347,0.125,0.1358695652173913,0.125,0.09782608695652174,0.09510869565217392,0.0625,0.029891304347826088,0.035326086956521736,0.010869565217391304,0.010869565217391304,26.01934749456521,22.895000000000003,25.73,30.179997999999998,0.702561280653951,3.6763231518785444,26,22,4.3001424031081585,-0.05618233031403203,-1.1535335275598506,695.497668729946,24,14,0.019021739130434784,0.06521739130434782,0.07065217391304347,0.057065217391304345,0.03260869565217391,0.07608695652173914,0.07880434782608696,0.10869565217391304,0.07065217391304347,0.04619565217391304,0.05434782608695652,0.051630434782608696,0.09510869565217392,0.08695652173913043,0.059782608695652176,0.02717391304347826,-12.290461763586956,-17.39,-13.074999,-6.875,0.8394005258855585,5.4685864190246924,28,25,6.212245319408572,0.11461258944529541,-1.1119530929532857,189.64744227070673,18,11,0.016304347826086956,0.021739130434782608,0.024456521739130436,0.06521739130434782,0.10869565217391304,0.14130434782608695,0.08152173913043478,0.051630434782608696,0.04891304347826087,0.057065217391304345,0.06793478260869565,0.07608695652173914,0.07880434782608696,0.06793478260869565,0.059782608695652176,0.03260869565217391,39.247995140774506,37.43445231133467,39.474705233095804,41.2332815889266,0.5864091226792014,2.1063265183394715,28,37,2.5532403685577516,-0.30387192340696245,-0.7060458680201203,1546.9241589498922,32,20,0.01358695652173913,0.01358695652173913,0.051630434782608696,0.043478260869565216,0.04891304347826087,0.043478260869565216,0.06521739130434782,0.07608695652173914,0.10869565217391304,0.08967391304347826,0.08967391304347826,0.10326086956521739,0.08967391304347826,0.06793478260869565,0.051630434782608696,0.043478260869565216
9,-25.180488815217387,-26.58,-25.14,-23.81,0.5908719427792916,1.6532661338610586,37,26,2.0715133675216455,0.07954333105768764,-0.1396087113096991,638.3481846051089,39,19,0.008152173913043478,0.019021739130434784,0.03260869565217391,0.0625,0.04891304347826087,0.09239130434782608,0.10054347826086957,0.14130434782608695,0.125,0.12228260869565218,0.10869565217391304,0.057065217391304345,0.024456521739130436,0.016304347826086956,0.021739130434782608,0.019021739130434784,26.216005100543477,22.98,25.789998999999998,30.48,0.7217166239782017,3.6624839821006616,27,22,4.307742892653026,-0.07366372559423173,-1.1312739939704748,705.8355722609243,24,13,0.0625,0.07608695652173914,0.057065217391304345,0.043478260869565216,0.057065217391304345,0.057065217391304345,0.1331521739130435,0.08967391304347826,0.057065217391304345,0.024456521739130436,0.0625,0.09510869565217392,0.10597826086956522,0.06521739130434782,0.002717391304347826,0.010869565217391304,-10.816005266304348,-16.67,-11.45,-4.835,0.873896430517711,5.793157347471644,24,24,6.30108798855789,0.07661129138674859,-1.4901633492417639,156.68967976027193,17,8,0.051630434782608696,0.02717391304347826,0.11413043478260869,0.125,0.09239130434782608,0.05434782608695652,0.021739130434782608,0.03260869565217391,0.04076086956521739,0.024456521739130436,0.057065217391304345,0.08423913043478261,0.09239130434782608,0.08695652173913043,0.06793478260869565,0.02717391304347826,38.662923260177415,36.86536873390471,39.1361340691694,40.486272554974306,0.5828667488233672,2.044404020739506,29,35,2.460040976068863,-0.46507091290134217,-0.6236271304935128,1500.873436626305,31,22,0.02717391304347826,0.024456521739130436,0.03804347826086957,0.04891304347826087,0.05434782608695652,0.051630434782608696,0.057065217391304345,0.0625,0.06793478260869565,0.10869565217391304,0.13858695652173914,0.14673913043478262,0.07336956521739131,0.04619565217391304,0.04076086956521739,0.01358695652173913
