,user,attacktype,attacker,sensors,nfeatures,solver,cval,penalty,far,frr,hter,refhter
110896,User42,zero-effort,rest,"('LAcc',)",30,newton-cg,0.4,l2,0.02181818181818182,0.0196078431372549,0.02071301247771836,0.016363636363636365
110897,User42,dict-effort,I1_slength_long,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110898,User42,dict-effort,I1_slength_longer,"('LAcc',)",30,newton-cg,0.4,l2,0.13793103448275862,0.0196078431372549,0.07876943881000675,0.02071301247771836
110899,User42,dict-effort,I1_slength_normal,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110900,User42,dict-effort,I1_slength_short,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110901,User42,dict-effort,I1_speed1_4,"('LAcc',)",30,newton-cg,0.4,l2,0.13636363636363635,0.0196078431372549,0.07798573975044562,0.02071301247771836
110902,User42,dict-effort,I1_speed1_6,"('LAcc',)",30,newton-cg,0.4,l2,0.2857142857142857,0.0196078431372549,0.1526610644257703,0.02071301247771836
110903,User42,dict-effort,I1_speed1_8,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110904,User42,dict-effort,I1_speed2_0,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110905,User42,dict-effort,I1_speed2_2,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110906,User42,dict-effort,I1_speed2_4,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110907,User42,dict-effort,I1_speed2_6,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110908,User42,dict-effort,I1_speed2_8,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110909,User42,dict-effort,I1_speed3_0,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110910,User42,dict-effort,I1_swidth_close,"('LAcc',)",30,newton-cg,0.4,l2,0.8235294117647058,0.0196078431372549,0.4215686274509804,0.02071301247771836
110911,User42,dict-effort,I1_swidth_normal,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110912,User42,dict-effort,I1_swidth_wide,"('LAcc',)",30,newton-cg,0.4,l2,0.05,0.0196078431372549,0.03480392156862745,0.02071301247771836
110913,User42,dict-effort,I1_swidth_wider,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110914,User42,dict-effort,I1_tlift_back,"('LAcc',)",30,newton-cg,0.4,l2,1.0,0.0196078431372549,0.5098039215686274,0.02071301247771836
110915,User42,dict-effort,I1_tlift_front,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110916,User42,dict-effort,I1_tlift_normal,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110917,User42,dict-effort,I1_tlift_up,"('LAcc',)",30,newton-cg,0.4,l2,0.8947368421052632,0.0196078431372549,0.45717234262125905,0.02071301247771836
110918,User42,dict-effort,I2_slength_long,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110919,User42,dict-effort,I2_slength_longer,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110920,User42,dict-effort,I2_slength_normal,"('LAcc',)",30,newton-cg,0.4,l2,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.02071301247771836
110921,User42,dict-effort,I2_slength_short,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110922,User42,dict-effort,I2_speed1_4,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110923,User42,dict-effort,I2_speed1_6,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110924,User42,dict-effort,I2_speed1_8,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110925,User42,dict-effort,I2_speed2_0,"('LAcc',)",30,newton-cg,0.4,l2,0.05263157894736842,0.0196078431372549,0.03611971104231166,0.02071301247771836
110926,User42,dict-effort,I2_speed2_2,"('LAcc',)",30,newton-cg,0.4,l2,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.02071301247771836
110927,User42,dict-effort,I2_speed2_4,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110928,User42,dict-effort,I2_speed2_6,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
110929,User42,dict-effort,I2_speed2_8,"('LAcc',)",30,newton-cg,0.4,l2,0.07692307692307693,0.0196078431372549,0.048265460030165915,0.02071301247771836
110930,User42,dict-effort,I2_speed3_0,"('LAcc',)",30,newton-cg,0.4,l2,0.0,0.0196078431372549,0.00980392156862745,0.02071301247771836
