,user,attacktype,attacker,sensors,nfeatures,nn,dist,far,frr,hter,refhter
24571,User10,zero-effort,rest,"('LAcc',)",30,5,euclidean,0.025454545454545455,0.8421052631578947,0.4337799043062201,0.00909090909090909
24572,User10,dict-effort,I1_slength_long,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24573,User10,dict-effort,I1_slength_longer,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24574,User10,dict-effort,I1_slength_normal,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24575,User10,dict-effort,I1_slength_short,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24576,User10,dict-effort,I1_speed1_4,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24577,User10,dict-effort,I1_speed1_6,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24578,User10,dict-effort,I1_speed1_8,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24579,User10,dict-effort,I1_speed2_0,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24580,User10,dict-effort,I1_speed2_2,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24581,User10,dict-effort,I1_speed2_4,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24582,User10,dict-effort,I1_speed2_6,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24583,User10,dict-effort,I1_speed2_8,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24584,User10,dict-effort,I1_speed3_0,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24585,User10,dict-effort,I1_swidth_close,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24586,User10,dict-effort,I1_swidth_normal,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24587,User10,dict-effort,I1_swidth_wide,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
24588,User10,dict-effort,I1_swidth_wider,"('LAcc',)",30,5,euclidean,0.0,0.8421052631578947,0.42105263157894735,0.4337799043062201
