,user,attacktype,attacker,sensors,nfeatures,nn,dist,far,frr,hter,refhter
73351,User28,dict-effort,I3_slength_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73352,User28,dict-effort,I3_slength_short,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73353,User28,dict-effort,I3_speed1_6,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73354,User28,dict-effort,I3_speed1_8,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73355,User28,dict-effort,I3_speed2_0,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73356,User28,dict-effort,I3_speed2_2,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73357,User28,dict-effort,I3_speed2_4,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73358,User28,dict-effort,I3_speed2_6,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73359,User28,dict-effort,I3_speed2_8,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73360,User28,dict-effort,I3_speed3_0,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73361,User28,dict-effort,I3_swidth_close,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73362,User28,dict-effort,I3_swidth_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73363,User28,dict-effort,I3_swidth_wide,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73364,User28,dict-effort,I3_swidth_wider,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73365,User28,dict-effort,I3_tlift_back,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73366,User28,dict-effort,I3_tlift_front,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73367,User28,dict-effort,I3_tlift_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73368,User28,dict-effort,I3_tlift_up,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73369,User28,dict-effort,I4_slength_long,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73370,User28,dict-effort,I4_slength_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73371,User28,dict-effort,I4_slength_short,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73372,User28,dict-effort,I4_speed1_6,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73373,User28,dict-effort,I4_speed1_8,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73374,User28,dict-effort,I4_speed2_0,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73375,User28,dict-effort,I4_speed2_2,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73376,User28,dict-effort,I4_speed2_4,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73377,User28,dict-effort,I4_speed2_6,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73378,User28,dict-effort,I4_speed2_8,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73379,User28,dict-effort,I4_swidth_close,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73380,User28,dict-effort,I4_swidth_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73381,User28,dict-effort,I4_swidth_wide,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73382,User28,dict-effort,I4_tlift_back,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73383,User28,dict-effort,I4_tlift_front,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73384,User28,dict-effort,I4_tlift_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73385,User28,dict-effort,I5_slength_long,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73386,User28,dict-effort,I5_slength_longer,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73387,User28,dict-effort,I5_slength_normal,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73388,User28,dict-effort,I5_slength_short,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73389,User28,dict-effort,I5_speed1_4,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73390,User28,dict-effort,I5_speed1_6,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
73391,User28,dict-effort,I5_speed1_8,"('LAcc',)",30,6,manhattan,0.0,0.0,0.0,0.014545454545454545
