,user,attacktype,attacker,sensors,nfeatures,n_estimators,max_features,max_depth,min_samples_leaf,far,frr,hter,refhter
38221,User15,zero-effort,rest,"('LAcc',)",30,500,0.3,2,2,0.02181818181818182,0.0,0.01090909090909091,0.02
38222,User15,dict-effort,I1_slength_long,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38223,User15,dict-effort,I1_slength_longer,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38224,User15,dict-effort,I1_slength_normal,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38225,User15,dict-effort,I1_slength_short,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38226,User15,dict-effort,I1_speed1_4,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38227,User15,dict-effort,I1_speed1_6,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38228,User15,dict-effort,I1_speed1_8,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38229,User15,dict-effort,I1_speed2_0,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38230,User15,dict-effort,I1_speed2_2,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38231,User15,dict-effort,I1_speed2_4,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38232,User15,dict-effort,I1_speed2_6,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38233,User15,dict-effort,I1_speed2_8,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38234,User15,dict-effort,I1_speed3_0,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38235,User15,dict-effort,I1_swidth_close,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38236,User15,dict-effort,I1_swidth_normal,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38237,User15,dict-effort,I1_swidth_wide,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38238,User15,dict-effort,I1_swidth_wider,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38239,User15,dict-effort,I1_tlift_back,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38240,User15,dict-effort,I1_tlift_front,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38241,User15,dict-effort,I1_tlift_normal,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38242,User15,dict-effort,I1_tlift_up,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38243,User15,dict-effort,I2_slength_long,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38244,User15,dict-effort,I2_slength_longer,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38245,User15,dict-effort,I2_slength_normal,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38246,User15,dict-effort,I2_slength_short,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38247,User15,dict-effort,I2_speed1_4,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38248,User15,dict-effort,I2_speed1_6,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38249,User15,dict-effort,I2_speed1_8,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38250,User15,dict-effort,I2_speed2_0,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38251,User15,dict-effort,I2_speed2_2,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38252,User15,dict-effort,I2_speed2_4,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38253,User15,dict-effort,I2_speed2_6,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38254,User15,dict-effort,I2_speed2_8,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38255,User15,dict-effort,I2_speed3_0,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38256,User15,dict-effort,I2_swidth_close,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38257,User15,dict-effort,I2_swidth_normal,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38258,User15,dict-effort,I2_swidth_wide,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
38259,User15,dict-effort,I2_swidth_wider,"('LAcc',)",30,500,0.3,2,2,0.0,0.0,0.0,0.01090909090909091
