,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
135061,User51,zero-effort,rest,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.03636363636363636,0.01639344262295082,0.026378539493293593,0.00909090909090909
135062,User51,dict-effort,I1_slength_long,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135063,User51,dict-effort,I1_slength_longer,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135064,User51,dict-effort,I1_slength_normal,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135065,User51,dict-effort,I1_slength_short,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135066,User51,dict-effort,I1_speed1_4,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135067,User51,dict-effort,I1_speed1_6,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135068,User51,dict-effort,I1_speed1_8,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135069,User51,dict-effort,I1_speed2_0,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135070,User51,dict-effort,I1_speed2_2,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135071,User51,dict-effort,I1_speed2_4,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135072,User51,dict-effort,I1_speed2_6,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135073,User51,dict-effort,I1_speed2_8,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135074,User51,dict-effort,I1_speed3_0,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135075,User51,dict-effort,I1_swidth_close,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135076,User51,dict-effort,I1_swidth_normal,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135077,User51,dict-effort,I1_swidth_wide,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135078,User51,dict-effort,I1_swidth_wider,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135079,User51,dict-effort,I1_tlift_back,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135080,User51,dict-effort,I1_tlift_front,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135081,User51,dict-effort,I1_tlift_normal,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135082,User51,dict-effort,I1_tlift_up,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.0,0.01639344262295082,0.00819672131147541,0.026378539493293593
135083,User51,dict-effort,I2_slength_long,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.3157894736842105,0.01639344262295082,0.16609145815358067,0.026378539493293593
135084,User51,dict-effort,I2_slength_longer,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.43478260869565216,0.01639344262295082,0.2255880256593015,0.026378539493293593
135085,User51,dict-effort,I2_slength_normal,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.9411764705882353,0.01639344262295082,0.47878495660559306,0.026378539493293593
135086,User51,dict-effort,I2_slength_short,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.3333333333333333,0.01639344262295082,0.17486338797814208,0.026378539493293593
135087,User51,dict-effort,I2_speed1_4,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.85,0.01639344262295082,0.4331967213114754,0.026378539493293593
135088,User51,dict-effort,I2_speed1_6,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.95,0.01639344262295082,0.4831967213114754,0.026378539493293593
135089,User51,dict-effort,I2_speed1_8,"('LAcc',)",30,"(200, 50)",relu,adam,0.8,adaptive,0.8095238095238095,0.01639344262295082,0.4129586260733802,0.026378539493293593
