,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
137777,User52,dict-effort,I2_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137778,User52,dict-effort,I2_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137779,User52,dict-effort,I2_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137780,User52,dict-effort,I2_speed3_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137781,User52,dict-effort,I2_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137782,User52,dict-effort,I2_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137783,User52,dict-effort,I2_swidth_wide,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137784,User52,dict-effort,I2_swidth_wider,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137785,User52,dict-effort,I2_tlift_back,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.21052631578947367,0.05063291139240506,0.13057961359093936,0.05077100115074799
137786,User52,dict-effort,I2_tlift_front,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137787,User52,dict-effort,I2_tlift_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137788,User52,dict-effort,I2_tlift_up,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.05,0.05063291139240506,0.050316455696202536,0.05077100115074799
137789,User52,dict-effort,I3_slength_long,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137790,User52,dict-effort,I3_slength_longer,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.038461538461538464,0.05063291139240506,0.04454722492697176,0.05077100115074799
137791,User52,dict-effort,I3_slength_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137792,User52,dict-effort,I3_slength_short,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137793,User52,dict-effort,I3_speed1_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137794,User52,dict-effort,I3_speed1_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137795,User52,dict-effort,I3_speed2_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137796,User52,dict-effort,I3_speed2_2,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137797,User52,dict-effort,I3_speed2_4,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137798,User52,dict-effort,I3_speed2_6,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.06666666666666667,0.05063291139240506,0.05864978902953587,0.05077100115074799
137799,User52,dict-effort,I3_speed2_8,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137800,User52,dict-effort,I3_speed3_0,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137801,User52,dict-effort,I3_swidth_close,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
137802,User52,dict-effort,I3_swidth_normal,"('LAcc',)",30,"(300, 50)",relu,adam,0.1,adaptive,0.0,0.05063291139240506,0.02531645569620253,0.05077100115074799
