,user,attacktype,attacker,sensors,nfeatures,hlayers,activation,solver,alpha,learning_rate,far,frr,hter,refhter
73306,User28,zero-effort,rest,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.025454545454545455,0.0,0.012727272727272728,0.012727272727272728
73307,User28,dict-effort,I1_slength_long,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73308,User28,dict-effort,I1_slength_longer,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73309,User28,dict-effort,I1_slength_normal,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73310,User28,dict-effort,I1_slength_short,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73311,User28,dict-effort,I1_speed1_4,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73312,User28,dict-effort,I1_speed1_6,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73313,User28,dict-effort,I1_speed1_8,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73314,User28,dict-effort,I1_speed2_0,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73315,User28,dict-effort,I1_speed2_2,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73316,User28,dict-effort,I1_speed2_4,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73317,User28,dict-effort,I1_speed2_6,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73318,User28,dict-effort,I1_speed2_8,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73319,User28,dict-effort,I1_speed3_0,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73320,User28,dict-effort,I1_swidth_close,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73321,User28,dict-effort,I1_swidth_normal,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73322,User28,dict-effort,I1_swidth_wide,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73323,User28,dict-effort,I1_swidth_wider,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73324,User28,dict-effort,I1_tlift_back,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73325,User28,dict-effort,I1_tlift_front,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73326,User28,dict-effort,I1_tlift_normal,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73327,User28,dict-effort,I1_tlift_up,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73328,User28,dict-effort,I2_slength_long,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73329,User28,dict-effort,I2_slength_longer,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73330,User28,dict-effort,I2_slength_normal,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73331,User28,dict-effort,I2_slength_short,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73332,User28,dict-effort,I2_speed1_4,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73333,User28,dict-effort,I2_speed1_6,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73334,User28,dict-effort,I2_speed1_8,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73335,User28,dict-effort,I2_speed2_0,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73336,User28,dict-effort,I2_speed2_2,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73337,User28,dict-effort,I2_speed2_4,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73338,User28,dict-effort,I2_speed2_6,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73339,User28,dict-effort,I2_speed2_8,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73340,User28,dict-effort,I2_speed3_0,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73341,User28,dict-effort,I2_swidth_close,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73342,User28,dict-effort,I2_swidth_normal,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73343,User28,dict-effort,I2_swidth_wide,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73344,User28,dict-effort,I2_swidth_wider,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73345,User28,dict-effort,I2_tlift_back,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
73346,User28,dict-effort,I2_tlift_front,"('LAcc',)",30,"(200, 50)",relu,adam,1.6,adaptive,0.0,0.0,0.0,0.012727272727272728
